你,you
会,can / to be able to / will
说,to speak / to say
英文,English (language)
吗,(question particle)
有,to have / there is
谁,who
明白,to understand / clear
不,not / no
我,I / me
一点,a little / a bit
请,please
用,to use / with
拼音,Pinyin (romanization system)
写,to write
中文,Chinese (language)
下来,(verb complement: down / completion)
指出,to point out
书,book
上,on / above
的,(possessive/modifier particle)
范句,example sentence
这个,this / this one
是,to be / is
什么,what
意思,meaning
怎么,how / why
念,to read aloud / to study
熊猫,panda
再,again / once more
一遍,one time (through) / once
慢,slow
可以,can / may / possible
四十四,forty-four
只,(measure word for animals)
石,stone
狮子,lion
死,to die / dead
外交官,diplomat
歪,crooked / askew
胶管,rubber tube / hose
你会说英文吗？,Do you speak English?
有谁会说英文吗？,Does anyone speak English?
你明白吗？,Do you understand?
明白。,I understand.
我不明白。,I don't understand.
我会说一点。,I speak a little.
请用拼音写。,Could you write that in Pinyin for me?
请用中文写下来。,Could you write that down for me (in Chinese characters)?
请指出书上的范句。,Please point to the phrase in this book.
(这个)是什么意思？,What does (this) mean?
怎么念这个？,How do you pronounce this?
"怎么写""熊猫""？",How do you write 'panda'?
请你再说一遍？,Could you please repeat that?
请你慢一点说？,Could you please speak more slowly?
可以请你写下来吗？,Could you please write it down?
四十四只石狮子是死的。,Forty-four stone lions are dead.
数字与数量,numbers & amounts
基数,cardinal numbers
零,0
一,1
二,2
三,3
四,4
五,5
六,6
七,7
八,8
九,9
十,10
十一,11
十二,12
十三,13
十四,14
十五,15
十六,16
十七,17
十八,18
十九,19
二十,20
二十一,21
二十二,22
三十,30
四十,40
五十,50
六十,60
七十,70
八十,80
九十,90
一百,100
一百零一,101
一百零三,103
一百一十三,113
一百二十二,122
两百,200
一千,1000
一万,10000
一百万,1000000
一亿,100000000
序数,ordinal numbers
